ride_id,timestamp,pickup_zone,vehicle_type,hour,is_weekend,weather_severity,traffic_index,distance_km,ride_duration_min,demand,available_drivers,demand_supply_ratio,surge_multiplier,trip_cost
R0000852,2025-04-03 04:35:00,Central,Comfort,23,0,0.846,0.971,7.939,25.586,55,40,1.375,1.1575,30.22
R0000853,2025-07-29 13:02:00,Central,Economy,5,0,0.76,1.135,9.568,27.575,61,51,1.1961,1.0824,22.91
R0000854,2025-05-01 05:20:00,Airport,Premium,6,0,0.314,0.763,5.623,17.794,54,39,1.3846,1.1615,25.82
R0000855,2025-11-24 23:35:00,Airport,Premium,20,0,0.023,1.566,10.539,33.803,76,41,1.8537,1.3585,57.19
R0000856,2025-07-11 13:00:00,South,Comfort,5,1,0.365,1.279,6.239,14.924,59,60,0.9833,1.0,14.93
R0000857,2025-07-02 19:30:00,South,Economy,1,0,2.525,1.673,31.513,115.251,52,54,0.963,1.0,82.07
R0000858,2025-09-12 04:49:00,North,Comfort,16,0,0.032,1.194,3.76,10.957,32,52,0.6154,1.0,12.44
R0000859,2025-09-20 01:42:00,North,Premium,19,0,0.749,1.671,34.256,119.386,62,35,1.7714,1.324,188.38
R0000860,2025-12-07 00:27:00,Central,Economy,23,0,2.078,1.574,4.604,12.997,55,49,1.1224,1.0514,13.19
R0000861,2025-02-13 11:16:00,North,Comfort,22,0,1.289,1.31,15.63,49.938,35,53,0.6604,1.0,43.89
R0000862,2025-11-19 07:39:00,Airport,Economy,2,0,1.459,1.184,12.245,39.375,59,36,1.6389,1.2683,38.64
R0000863,2025-03-09 10:18:00,University,Premium,18,0,1.326,1.857,4.71,19.127,69,36,1.9167,1.385,39.42
R0000864,2025-12-21 10:40:00,Airport,Comfort,20,1,0.089,1.725,10.802,36.83,99,53,1.8679,1.3645,42.48
R0000865,2025-06-15 23:26:00,North,Economy,16,0,1.792,1.084,5.914,18.095,32,45,0.7111,1.0,15.19
R0000866,2025-12-22 09:25:00,Airport,Economy,19,0,1.997,1.719,9.036,34.034,73,50,1.46,1.1932,34.94
R0000867,2025-05-06 07:52:00,Tech Park,Economy,20,0,0.136,1.549,8.426,30.389,82,41,2.0,1.42,29.5
R0000868,2025-03-13 13:44:00,Central,Economy,10,0,0.4,1.402,6.41,22.563,64,49,1.3061,1.1286,18.45
R0000869,2025-03-27 05:17:00,University,Premium,0,0,0.666,0.897,6.124,20.397,32,43,0.7442,1.0,26.49
R0000870,2025-02-12 22:41:00,Airport,Economy,10,0,0.405,1.547,9.37,32.791,60,38,1.5789,1.2432,28.0
R0000871,2025-05-01 10:07:00,Tech Park,Premium,4,0,0.283,1.23,4.725,19.188,47,53,0.8868,1.0,22.92
R0000872,2025-08-21 04:27:00,South,Economy,2,0,0.291,1.228,4.824,15.778,36,54,0.6667,1.0,13.32
R0000873,2025-09-07 11:20:00,Central,Comfort,2,0,1.136,1.262,13.134,44.046,48,46,1.0435,1.0183,38.73
R0000874,2025-12-02 17:42:00,Central,Premium,16,1,1.423,1.289,9.832,34.03,71,45,1.5778,1.2427,52.74
R0000875,2025-08-23 08:15:00,Central,Comfort,12,0,0.292,1.428,3.786,10.252,56,54,1.037,1.0156,8.84
R0000876,2025-11-19 12:02:00,Tech Park,Premium,12,0,1.415,1.158,4.474,16.043,48,43,1.1163,1.0488,26.28
R0000877,2025-02-12 16:25:00,University,Premium,17,1,0.404,1.666,2.399,8.406,60,30,2.0,1.42,18.15
R0000878,2025-06-15 04:27:00,Central,Comfort,13,0,0.149,0.921,12.811,35.57,58,45,1.2889,1.1213,35.84
R0000879,2025-12-26 11:54:00,Central,Comfort,15,0,0.828,0.917,11.344,32.667,48,63,0.7619,1.0,26.81
R0000880,2025-05-08 00:04:00,Central,Economy,2,1,0.637,1.328,4.268,15.423,64,44,1.4545,1.1909,16.63
R0000881,2025-09-13 06:29:00,Central,Economy,20,1,0.856,1.649,11.104,36.386,84,31,2.7097,1.7181,45.19
R0000882,2025-11-01 08:06:00,South,Economy,10,0,0.844,1.827,23.151,84.969,57,39,1.4615,1.1938,75.26
R0000883,2025-03-23 13:03:00,Central,Comfort,3,0,0.767,1.094,3.331,10.947,61,47,1.2979,1.1251,12.87
R0000884,2025-06-15 14:33:00,Central,Comfort,19,1,0.569,1.877,5.538,23.973,97,44,2.2045,1.5059,33.83
R0000885,2025-02-01 18:48:00,University,Economy,17,0,1.389,1.621,3.292,11.388,70,32,2.1875,1.4988,17.97
R0000886,2025-03-08 11:28:00,Tech Park,Premium,1,1,1.064,1.401,13.088,46.535,87,47,1.8511,1.3574,78.15
R0000887,2025-11-21 11:56:00,Tech Park,Economy,4,1,0.418,1.236,7.368,25.198,57,33,1.7273,1.3055,20.77
R0000888,2025-02-01 16:59:00,Airport,Premium,0,1,0.408,0.75,6.24,18.199,61,50,1.22,1.0924,21.0
R0000889,2025-05-13 10:33:00,University,Economy,6,0,0.077,0.921,8.803,29.238,39,45,0.8667,1.0,19.64
R0000890,2025-08-25 02:47:00,South,Economy,2,0,0.097,1.201,5.718,23.291,36,47,0.766,1.0,15.71
R0000891,2025-03-26 00:20:00,North,Economy,17,0,0.531,1.94,6.228,24.077,68,44,1.5455,1.2291,23.53
R0000892,2025-03-05 01:06:00,Airport,Economy,12,0,1.247,1.353,9.035,28.787,53,37,1.4324,1.1816,26.04
R0000893,2025-04-13 21:19:00,University,Comfort,23,0,0.24,0.972,5.554,18.416,34,50,0.68,1.0,16.46
R0000894,2025-12-21 02:51:00,South,Comfort,17,1,1.106,1.575,6.002,18.706,64,39,1.641,1.2692,25.72
R0000895,2025-04-08 21:09:00,Tech Park,Comfort,14,0,0.742,1.236,7.127,20.733,50,55,0.9091,1.0,21.45
R0000896,2025-02-17 06:23:00,South,Economy,12,0,0.258,0.97,8.168,27.853,32,51,0.6275,1.0,18.09
R0000897,2025-10-11 04:16:00,Tech Park,Economy,1,0,0.66,1.05,10.815,34.578,39,43,0.907,1.0,24.44
R0000898,2025-06-24 11:25:00,Tech Park,Economy,1,0,0.636,1.074,10.706,31.334,51,50,1.02,1.0084,22.96
R0000899,2025-08-24 06:55:00,University,Economy,14,0,0.272,1.208,3.405,18.872,36,46,0.7826,1.0,15.16
R0000900,2025-10-20 19:23:00,Central,Economy,0,0,1.044,1.513,16.85,54.675,58,44,1.3182,1.1336,37.61
R0000901,2025-05-07 15:19:00,Central,Economy,1,1,1.349,1.428,8.025,29.051,79,39,2.0256,1.4308,30.53
R0000902,2025-01-26 05:12:00,Tech Park,Comfort,5,0,0.458,1.084,6.473,18.981,44,46,0.9565,1.0,18.87
R0000903,2025-05-01 15:09:00,North,Premium,21,0,0.168,1.418,4.726,20.804,51,43,1.186,1.0781,30.75
R0000904,2025-04-25 09:38:00,South,Comfort,11,0,1.402,1.373,23.197,74.952,43,38,1.1316,1.0553,76.85
R0000905,2025-12-16 06:02:00,Tech Park,Economy,17,0,0.089,1.866,28.444,104.291,74,37,2.0,1.42,101.23
R0000906,2025-07-08 18:16:00,South,Economy,9,1,0.802,1.875,21.68,76.517,77,40,1.925,1.3885,83.45
R0000907,2025-08-24 02:37:00,Tech Park,Economy,4,1,0.24,1.081,8.304,30.733,54,41,1.3171,1.1332,22.56
R0000908,2025-05-14 03:19:00,Central,Economy,8,0,0.15,1.489,9.386,31.262,79,35,2.2571,1.528,37.12
R0000909,2025-09-22 06:10:00,Tech Park,Economy,2,1,0.356,1.126,17.638,55.6,53,32,1.6562,1.2756,46.69
R0000910,2025-01-21 02:28:00,Airport,Premium,18,0,0.635,1.872,6.805,26.288,66,37,1.7838,1.3292,44.21
R0000911,2025-04-19 18:55:00,South,Economy,4,0,0.195,1.077,10.462,31.309,37,48,0.7708,1.0,17.13
R0000912,2025-05-29 03:32:00,University,Economy,9,1,0.119,1.553,8.802,26.26,58,36,1.6111,1.2567,23.18
R0000913,2025-12-28 10:36:00,Central,Comfort,23,0,0.052,0.886,22.316,63.547,59,50,1.18,1.0756,56.31
R0000914,2025-11-06 09:28:00,Central,Premium,14,0,2.079,1.84,17.115,62.762,75,51,1.4706,1.1976,104.05
R0000915,2025-09-30 10:35:00,Central,Economy,11,0,0.86,0.994,7.2,23.048,48,33,1.4545,1.1909,20.09
R0000916,2025-04-02 03:17:00,South,Comfort,13,0,0.26,0.87,17.971,56.349,36,54,0.6667,1.0,50.7
R0000917,2025-03-29 17:41:00,North,Economy,18,0,0.898,1.741,7.752,30.281,74,42,1.7619,1.32,30.16
R0000918,2025-11-22 02:31:00,Airport,Economy,6,0,0.63,1.077,5.754,20.454,50,45,1.1111,1.0467,19.07
R0000919,2025-12-03 13:28:00,University,Premium,15,0,1.139,1.389,6.64,22.28,42,44,0.9545,1.0,30.82
R0000920,2025-07-12 23:12:00,Central,Economy,20,0,0.495,1.829,8.424,28.979,85,47,1.8085,1.3396,31.3
R0000921,2025-05-22 20:02:00,South,Comfort,13,1,1.312,1.018,5.044,15.589,58,38,1.5263,1.2211,19.38
R0000922,2025-07-29 06:08:00,South,Economy,10,0,0.305,1.469,5.843,19.159,50,37,1.3514,1.1476,16.43
R0000923,2025-01-25 19:19:00,Airport,Economy,3,1,0.736,0.975,3.512,11.499,53,46,1.1522,1.0639,10.25
R0000924,2025-06-01 22:28:00,Airport,Economy,5,0,1.246,1.365,4.941,16.278,44,51,0.8627,1.0,13.4
R0000925,2025-05-17 22:27:00,University,Comfort,22,0,0.77,1.216,8.837,25.058,41,52,0.7885,1.0,25.05
R0000926,2025-06-20 08:17:00,Tech Park,Comfort,12,0,2.589,1.399,13.779,48.922,56,43,1.3023,1.127,60.07
R0000927,2025-10-23 14:29:00,Airport,Comfort,7,1,1.121,1.791,12.842,47.063,94,41,2.2927,1.5429,76.63
R0000928,2025-10-18 20:06:00,Tech Park,Economy,10,0,0.885,1.507,9.84,33.545,69,45,1.5333,1.224,28.26
R0000929,2025-06-07 23:38:00,North,Economy,13,1,0.427,0.943,3.35,8.622,35,45,0.7778,1.0,7.81
R0000930,2025-10-10 15:53:00,Airport,Economy,12,0,0.751,0.901,4.838,14.077,39,45,0.8667,1.0,12.83
R0000931,2025-07-10 01:31:00,Tech Park,Economy,16,0,1.631,1.32,6.969,21.703,50,50,1.0,1.0,17.68
R0000932,2025-12-19 09:34:00,North,Economy,6,0,0.373,1.093,13.191,38.166,35,36,0.9722,1.0,22.24
R0000933,2025-06-26 03:43:00,Central,Premium,15,0,0.23,0.864,5.719,17.782,48,41,1.1707,1.0717,24.04
R0000934,2025-01-11 09:56:00,University,Economy,10,0,0.375,1.693,3.971,14.326,66,42,1.5714,1.24,13.41
R0000935,2025-12-15 15:17:00,Central,Economy,22,0,0.354,1.254,17.228,56.829,50,62,0.8065,1.0,36.78
R0000936,2025-07-18 15:26:00,Central,Premium,3,0,0.993,0.993,5.185,15.714,64,48,1.3333,1.14,26.44
R0000937,2025-01-16 23:24:00,Central,Economy,3,0,2.361,1.366,4.177,15.167,84,56,1.5,1.21,18.0
R0000938,2025-08-20 23:10:00,Tech Park,Comfort,11,0,0.095,1.11,8.802,28.037,58,45,1.2889,1.1213,28.35
R0000939,2025-04-11 07:16:00,Tech Park,Economy,12,0,0.646,1.115,7.557,25.002,48,63,0.7619,1.0,20.56
R0000940,2025-01-18 19:14:00,University,Economy,16,0,0.196,0.788,5.9,15.697,34,48,0.7083,1.0,11.32
R0000941,2025-10-12 03:40:00,Central,Comfort,9,0,0.832,1.62,7.769,30.107,91,26,3.5,2.05,59.82
R0000942,2025-12-23 00:36:00,Tech Park,Economy,21,0,0.921,1.63,4.668,14.942,73,30,2.4333,1.602,20.26
R0000943,2025-01-22 21:42:00,South,Comfort,11,0,0.356,1.033,5.863,18.762,35,47,0.7447,1.0,18.71
R0000944,2025-07-15 05:25:00,Central,Economy,3,0,1.017,1.16,7.615,21.969,77,45,1.7111,1.2987,19.21
R0000945,2025-05-07 06:04:00,Airport,Economy,2,1,0.295,1.335,2.535,9.308,53,37,1.4324,1.1816,8.41
R0000946,2025-12-29 15:51:00,Tech Park,Economy,23,0,0.295,1.016,13.135,41.725,52,47,1.1064,1.0447,27.85
R0000947,2025-11-13 19:10:00,Central,Economy,3,0,0.246,0.735,3.651,12.487,59,47,1.2553,1.1072,11.51
R0000948,2025-10-01 19:42:00,South,Economy,22,1,0.379,1.085,4.635,17.604,49,36,1.3611,1.1517,18.05
R0000949,2025-02-06 05:40:00,South,Comfort,6,0,0.588,1.42,13.465,44.694,30,45,0.6667,1.0,37.77
R0000950,2025-03-22 14:23:00,Airport,Economy,2,0,0.528,1.065,10.624,34.896,44,32,1.375,1.1575,26.73
R0000951,2025-03-02 03:16:00,University,Economy,7,1,0.702,1.598,8.15,27.752,63,30,2.1,1.462,30.62
R0000952,2025-12-14 02:34:00,Tech Park,Economy,14,1,0.973,1.12,3.036,9.606,63,34,1.8529,1.3582,10.21
R0000953,2025-04-30 02:29:00,North,Economy,10,1,0.711,1.783,5.567,21.636,77,40,1.925,1.3885,22.27
R0000954,2025-01-11 04:20:00,Tech Park,Economy,18,0,2.048,1.863,6.897,28.431,76,42,1.8095,1.34,28.38
R0000955,2025-09-21 01:14:00,North,Comfort,14,0,0.629,0.84,7.178,20.139,43,46,0.9348,1.0,19.75
R0000956,2025-09-28 00:53:00,Tech Park,Comfort,9,1,1.171,1.64,14.553,53.147,70,36,1.9444,1.3967,68.13
R0000957,2025-05-15 06:56:00,Central,Comfort,15,1,0.077,1.002,23.263,69.514,52,44,1.1818,1.0764,63.52
R0000958,2025-12-18 14:25:00,North,Economy,23,0,0.702,1.223,10.894,35.896,35,41,0.8537,1.0,25.5
R0000959,2025-10-30 09:34:00,Central,Economy,9,0,0.522,1.539,5.79,19.063,69,51,1.3529,1.1482,16.63
R0000960,2025-07-24 17:20:00,North,Comfort,3,0,0.477,1.033,15.149,45.004,48,34,1.4118,1.1729,43.26
R0000961,2025-01-02 13:51:00,North,Economy,9,0,1.605,1.847,5.617,21.626,73,34,2.1471,1.4818,28.02
R0000962,2025-11-20 17:45:00,Central,Economy,20,0,2.666,1.89,1.835,8.952,86,41,2.0976,1.461,14.66
R0000963,2025-01-24 13:28:00,University,Premium,5,0,0.982,1.16,3.907,11.586,36,31,1.1613,1.0677,18.22
R0000964,2025-06-05 10:08:00,Airport,Economy,22,0,0.051,1.093,2.107,4.936,40,50,0.8,1.0,7.21
R0000965,2025-11-03 21:50:00,Airport,Comfort,14,0,0.336,0.847,6.29,14.23,45,41,1.0976,1.041,13.33
R0000966,2025-05-24 20:17:00,North,Economy,14,0,0.099,1.073,7.042,24.001,22,41,0.5366,1.0,15.33
R0000967,2025-05-21 00:09:00,South,Economy,7,0,0.685,1.477,3.235,14.27,64,36,1.7778,1.3267,17.56
R0000968,2025-12-10 07:00:00,Central,Economy,22,0,0.876,0.965,4.856,11.017,45,50,0.9,1.0,11.93
R0000969,2025-07-03 18:47:00,South,Economy,0,0,0.067,0.893,3.545,11.623,38,38,1.0,1.0,7.5
R0000970,2025-12-07 16:40:00,Tech Park,Economy,7,1,1.835,2.126,7.244,28.611,78,29,2.6897,1.7097,40.55
R0000971,2025-11-27 15:21:00,Airport,Comfort,10,0,0.147,1.268,4.858,19.371,66,40,1.65,1.273,20.91
R0000972,2025-10-10 04:21:00,University,Comfort,11,0,0.84,1.068,13.538,41.076,43,39,1.1026,1.0431,38.65
R0000973,2025-02-18 22:05:00,Central,Economy,11,0,1.804,1.32,8.528,29.75,56,42,1.3333,1.14,23.37
R0000974,2025-03-25 17:34:00,South,Economy,3,0,0.698,1.336,18.777,60.375,25,41,0.6098,1.0,40.1
R0000975,2025-08-18 03:50:00,Airport,Economy,5,0,0.275,1.4,6.049,19.587,36,39,0.9231,1.0,14.45
R0000976,2025-05-08 22:59:00,Tech Park,Economy,2,0,0.257,0.97,25.265,75.815,51,45,1.1333,1.056,46.6
R0000977,2025-09-30 09:29:00,Tech Park,Comfort,13,0,0.715,1.226,7.779,27.924,50,36,1.3889,1.1633,29.86
R0000978,2025-10-16 16:57:00,Airport,Economy,8,0,1.173,1.744,5.809,19.227,68,38,1.7895,1.3316,21.68
R0000979,2025-06-18 05:32:00,Central,Premium,13,0,0.814,1.128,29.219,91.936,49,49,1.0,1.0,104.84
R0000980,2025-07-17 23:15:00,Central,Economy,14,0,0.25,1.094,2.841,7.823,49,52,0.9423,1.0,9.81
R0000981,2025-04-01 18:25:00,Airport,Economy,16,0,0.51,0.806,5.732,12.048,45,45,1.0,1.0,9.34
R0000982,2025-09-23 12:36:00,University,Comfort,13,0,0.211,1.029,3.109,10.617,35,48,0.7292,1.0,10.85
R0000983,2025-01-08 04:37:00,South,Economy,15,0,0.208,1.119,2.826,11.097,46,36,1.2778,1.1167,9.06
R0000984,2025-02-16 23:58:00,South,Economy,14,0,0.195,0.88,2.492,5.139,32,32,1.0,1.0,7.08
R0000985,2025-07-28 21:16:00,University,Economy,15,0,0.404,1.155,10.905,30.199,43,43,1.0,1.0,18.45
R0000986,2025-01-05 19:36:00,Tech Park,Comfort,14,0,0.564,0.79,3.74,10.59,60,45,1.3333,1.14,12.83
R0000987,2025-03-10 05:30:00,Tech Park,Economy,7,0,0.629,1.68,6.752,23.602,73,35,2.0857,1.456,24.55
R0000988,2025-04-13 21:52:00,Central,Economy,5,1,0.776,1.381,12.687,45.416,63,45,1.4,1.168,31.91
R0000989,2025-03-30 21:13:00,Central,Economy,18,1,0.267,1.559,10.023,35.352,91,43,2.1163,1.4688,34.19
R0000990,2025-10-03 12:36:00,Central,Economy,8,1,0.575,1.478,9.754,35.361,85,33,2.5758,1.6618,39.47
R0000991,2025-05-03 18:10:00,Central,Premium,13,0,0.645,0.86,15.144,44.072,50,52,0.9615,1.0,51.98
R0000992,2025-11-22 05:58:00,Central,Economy,4,0,1.492,1.339,18.825,64.967,57,51,1.1176,1.0494,45.22
R0000993,2025-08-02 16:49:00,Central,Economy,10,0,0.07,1.73,3.902,13.275,66,37,1.7838,1.3292,11.32
R0000994,2025-10-11 02:06:00,Central,Economy,12,0,0.106,1.009,10.133,30.769,55,43,1.2791,1.1172,18.27
R0000995,2025-11-20 04:55:00,North,Economy,15,0,0.939,1.086,6.688,17.929,40,53,0.7547,1.0,14.34
R0000996,2025-06-15 16:38:00,Central,Premium,12,0,1.026,0.837,7.166,23.074,54,56,0.9643,1.0,29.35
R0000997,2025-09-29 13:32:00,Central,Economy,8,0,0.943,1.742,3.383,15.894,75,45,1.6667,1.28,17.38
R0000998,2025-10-27 01:03:00,North,Comfort,23,0,0.934,1.044,5.798,20.45,37,36,1.0278,1.0117,18.93
R0000999,2025-07-22 15:38:00,North,Economy,12,0,2.364,1.312,6.156,20.711,47,38,1.2368,1.0995,20.1
R0001000,2025-07-29 23:58:00,Tech Park,Comfort,19,1,1.359,2.086,17.058,63.432,73,30,2.4333,1.602,97.97
R0001001,2025-02-07 03:02:00,Tech Park,Economy,17,0,0.084,1.241,4.115,14.085,62,35,1.7714,1.324,10.94
R0001002,2025-07-04 11:57:00,Central,Economy,13,1,0.446,0.78,2.092,5.684,60,39,1.5385,1.2262,5.23
R0001003,2025-03-08 10:18:00,Airport,Economy,21,0,0.421,1.667,7.742,30.373,59,46,1.2826,1.1187,23.92
R0001004,2025-06-05 10:01:00,Central,Economy,3,0,0.525,1.025,3.891,11.93,36,40,0.9,1.0,11.03
R0001005,2025-04-08 23:07:00,Central,Premium,22,0,0.368,0.973,7.194,21.21,56,50,1.12,1.0504,24.85
R0001006,2025-09-22 15:48:00,North,Comfort,20,0,0.162,1.628,11.172,44.648,61,30,2.0333,1.434,53.74
R0001007,2025-08-05 22:59:00,University,Economy,12,0,0.656,1.164,7.353,25.608,40,41,0.9756,1.0,19.31
R0001008,2025-12-30 12:54:00,Central,Economy,17,0,1.571,1.657,6.128,25.062,82,35,2.3429,1.564,30.67
R0001009,2025-09-05 20:27:00,Central,Comfort,12,0,0.356,0.958,7.127,20.785,61,64,0.9531,1.0,19.25
R0001010,2025-11-21 07:26:00,Tech Park,Economy,6,0,0.77,1.148,12.38,36.534,58,47,1.234,1.0983,27.87
R0001011,2025-04-16 17:05:00,North,Economy,19,0,0.54,1.677,4.116,18.154,57,38,1.5,1.21,15.03
R0001012,2025-09-15 18:42:00,Airport,Comfort,5,1,0.934,1.255,11.596,40.926,57,54,1.0556,1.0233,41.95
R0001013,2025-07-24 11:26:00,Central,Economy,7,0,0.495,1.534,4.471,13.665,69,39,1.7692,1.3231,13.72
R0001014,2025-11-06 10:55:00,University,Economy,12,0,0.303,1.117,10.817,32.807,52,45,1.1556,1.0653,27.28
R0001015,2025-09-26 22:46:00,Airport,Economy,20,0,0.377,1.789,3.324,11.359,61,40,1.525,1.2205,13.36
R0001016,2025-10-01 15:39:00,South,Economy,9,0,1.523,1.833,10.469,40.326,58,31,1.871,1.3658,43.24
R0001017,2025-07-30 06:59:00,Tech Park,Comfort,11,0,0.607,1.091,7.345,25.756,45,40,1.125,1.0525,21.55
R0001018,2025-10-25 09:25:00,Central,Comfort,0,0,0.588,1.064,8.192,24.888,48,49,0.9796,1.0,23.39
R0001019,2025-12-21 10:28:00,Tech Park,Premium,2,1,1.485,1.156,13.163,40.603,60,44,1.3636,1.1527,59.24
R0001020,2025-04-22 10:07:00,Central,Economy,1,0,1.709,1.139,4.945,12.119,70,48,1.4583,1.1925,13.1
R0001021,2025-03-14 15:53:00,Central,Comfort,1,0,0.11,0.966,7.662,21.399,45,41,1.0976,1.041,17.45
R0001022,2025-02-18 20:13:00,Central,Premium,20,0,1.152,1.839,9.178,37.974,82,42,1.9524,1.4,72.24
R0001023,2025-08-31 20:38:00,University,Comfort,20,1,0.633,1.504,6.59,24.518,68,32,2.125,1.4725,36.14
R0001024,2025-06-23 21:29:00,Central,Premium,19,1,1.714,1.845,11.522,45.226,88,50,1.76,1.3192,77.68
R0001025,2025-01-18 18:14:00,Central,Premium,1,1,0.071,0.978,9.313,27.532,58,47,1.234,1.0983,33.19
R0001026,2025-07-03 13:20:00,University,Comfort,1,0,0.72,1.45,5.647,19.432,47,34,1.3824,1.1606,21.82
R0001027,2025-01-25 09:12:00,Central,Premium,6,0,0.976,1.306,15.54,50.645,58,50,1.16,1.0672,66.62
R0001028,2025-06-09 05:40:00,University,Economy,13,0,0.428,1.204,10.581,34.734,47,34,1.3824,1.1606,27.32
R0001029,2025-01-02 04:42:00,South,Economy,8,1,1.098,1.913,4.887,22.493,70,44,1.5909,1.2482,22.7
R0001030,2025-03-04 12:28:00,South,Premium,11,0,1.171,1.113,4.86,14.579,46,39,1.1795,1.0754,22.21
R0001031,2025-04-26 19:59:00,Tech Park,Comfort,4,0,0.546,1.346,6.884,23.187,62,50,1.24,1.1008,27.51
R0001032,2025-11-29 02:32:00,Tech Park,Economy,17,0,0.511,1.671,9.935,34.231,72,39,1.8462,1.3554,32.63
R0001033,2025-01-11 19:21:00,Airport,Economy,7,0,1.267,1.77,2.299,5.343,48,27,1.7778,1.3267,10.83
R0001034,2025-03-25 00:34:00,University,Economy,1,0,0.708,0.909,5.001,17.641,43,43,1.0,1.0,16.1
R0001035,2025-11-12 20:10:00,University,Comfort,17,0,0.919,1.643,5.654,24.833,63,35,1.8,1.336,35.47
R0001036,2025-12-21 18:51:00,University,Economy,21,0,0.705,1.359,3.523,14.475,66,44,1.5,1.21,15.19
R0001037,2025-07-03 21:09:00,South,Economy,0,1,0.673,1.076,4.428,15.137,43,48,0.8958,1.0,12.87
R0001038,2025-12-18 11:41:00,South,Economy,10,0,0.51,1.538,8.377,33.703,61,43,1.4186,1.1758,28.49
R0001039,2025-09-17 14:58:00,South,Economy,19,1,0.972,1.653,5.936,23.021,75,35,2.1429,1.48,29.74
R0001040,2025-05-14 05:05:00,Airport,Premium,16,0,0.241,0.794,6.199,20.156,53,52,1.0192,1.0081,22.88
R0001041,2025-09-12 13:26:00,North,Economy,20,1,0.077,1.69,3.639,14.499,64,36,1.7778,1.3267,14.78
R0001042,2025-10-23 04:50:00,South,Economy,9,0,0.587,1.762,6.907,26.653,62,29,2.1379,1.4779,28.27
R0001043,2025-11-22 05:45:00,South,Economy,8,1,1.734,2.166,3.397,14.425,66,38,1.7368,1.3095,22.59
R0001044,2025-06-02 19:37:00,Central,Comfort,17,0,0.709,1.977,17.33,67.977,77,33,2.3333,1.56,104.58
R0001045,2025-02-07 11:26:00,North,Economy,3,0,0.465,1.112,20.264,59.791,34,54,0.6296,1.0,36.48
R0001046,2025-09-13 11:15:00,South,Economy,5,0,0.408,1.258,5.988,21.099,32,55,0.5818,1.0,13.02
R0001047,2025-01-16 21:38:00,North,Economy,14,0,0.381,1.116,4.19,12.185,41,42,0.9762,1.0,9.62
R0001048,2025-07-25 18:38:00,University,Premium,16,0,0.004,0.924,12.429,37.86,28,42,0.6667,1.0,41.59
R0001049,2025-09-18 06:10:00,Tech Park,Comfort,2,1,1.549,1.229,10.76,40.063,72,49,1.4694,1.1971,45.84
R0001050,2025-07-12 00:58:00,Airport,Comfort,12,1,0.341,1.176,21.783,69.476,66,39,1.6923,1.2908,69.67
R0001051,2025-10-27 19:53:00,Airport,Economy,8,0,0.598,2.393,25.219,107.087,65,54,1.2037,1.0856,82.68
R0001052,2025-10-25 11:18:00,Tech Park,Premium,12,0,0.438,1.289,2.548,11.5,40,45,0.8889,1.0,17.08
R0001053,2025-01-05 07:41:00,North,Comfort,23,0,0.283,1.095,14.691,40.177,31,50,0.62,1.0,35.95
R0001054,2025-09-15 07:57:00,Tech Park,Economy,1,1,1.613,1.377,6.873,23.347,65,42,1.5476,1.23,21.58
R0001055,2025-07-17 11:48:00,Central,Premium,23,1,0.172,1.116,10.507,33.994,48,57,0.8421,1.0,40.68
R0001056,2025-05-20 16:50:00,Airport,Premium,10,0,1.001,1.714,11.915,38.689,73,49,1.4898,1.2057,63.23
R0001057,2025-05-26 15:31:00,North,Comfort,18,1,0.096,1.703,11.644,41.604,64,47,1.3617,1.1519,47.93
R0001058,2025-11-08 08:09:00,Tech Park,Comfort,10,0,0.514,1.615,13.466,47.413,59,47,1.2553,1.1072,46.9
R0001059,2025-11-29 15:16:00,University,Economy,7,1,1.438,1.627,5.708,18.384,73,39,1.8718,1.3662,20.25
R0001060,2025-08-19 01:45:00,University,Economy,18,1,0.364,1.702,4.599,15.45,81,33,2.4545,1.6109,20.15
R0001061,2025-09-12 16:38:00,North,Economy,16,0,0.927,1.278,14.921,51.235,38,40,0.95,1.0,37.0
R0001062,2025-06-27 11:58:00,Tech Park,Economy,3,0,0.347,1.036,4.809,7.717,40,54,0.7407,1.0,5.78
R0001063,2025-12-25 01:00:00,Airport,Economy,16,0,0.426,1.133,21.623,67.24,48,42,1.1429,1.06,44.84
R0001064,2025-09-19 00:28:00,South,Economy,18,0,1.116,1.924,5.102,22.861,57,33,1.7273,1.3055,24.39
R0001065,2025-05-09 10:45:00,University,Premium,9,1,0.945,1.711,6.3,23.516,63,41,1.5366,1.2254,41.04
R0001066,2025-11-12 00:59:00,North,Economy,22,0,1.749,1.234,6.996,26.28,44,51,0.8627,1.0,19.23
R0001067,2025-02-21 12:25:00,University,Comfort,15,0,0.363,0.938,3.328,10.035,48,58,0.8276,1.0,10.27
R0001068,2025-01-26 17:26:00,Central,Economy,8,1,0.799,1.648,3.333,11.012,75,45,1.6667,1.28,13.85
R0001069,2025-09-30 05:20:00,Airport,Economy,0,0,0.63,1.39,12.828,42.929,45,45,1.0,1.0,27.75
R0001070,2025-09-04 02:41:00,South,Economy,16,0,0.819,1.112,3.016,9.694,48,38,1.2632,1.1105,8.47
R0001071,2025-10-02 01:15:00,University,Economy,5,0,1.35,1.308,31.057,98.428,44,46,0.9565,1.0,73.84
R0001072,2025-02-11 06:07:00,Central,Economy,18,0,0.298,1.545,7.376,25.912,81,54,1.5,1.21,23.57
